transaction_amount,account_age_days,transactions_last_24h,international_transaction,unusual_device,unusual_location,failed_login_attempts,distance_from_home_km,fraud
216.03,508,6,0,0,0,0,23.09,0
81.24,3858,3,0,0,0,1,26.11,0
46.07,3776,3,0,0,0,1,5.14,0
180.49,596,5,0,0,0,1,44.0,0
98.09,247,4,0,0,0,0,28.57,0
265.65,2868,4,1,0,0,0,36.26,0
78.64,338,5,0,0,0,0,42.44,1
22.15,2415,1,0,0,0,0,40.11,0
19.47,287,6,0,0,0,0,45.36,0
294.66,2771,5,0,0,1,0,4.99,0
314.6,949,6,0,0,0,0,23.6,1
56.74,411,4,0,0,1,0,9.08,1
47.23,294,5,0,0,0,0,1.41,0
248.46,778,5,0,1,0,2,41.0,1
24.62,2176,4,0,0,0,0,106.56,0
29.81,334,3,1,0,0,3,1.79,1
118.98,3215,5,0,0,0,0,44.21,0
46.75,2428,6,1,0,0,1,21.46,0
66.38,1210,7,0,0,0,0,26.24,0
57.56,3946,2,0,1,0,2,43.13,1
90.36,2644,8,0,0,1,0,38.69,1
236.69,2697,4,0,0,0,1,23.07,0
72.35,720,5,0,0,0,0,17.94,0
119.05,2851,5,0,0,0,0,39.02,0
10.54,2249,2,0,0,0,0,2.65,0
63.83,3938,5,0,0,0,2,42.83,0
31.22,1927,3,0,0,0,0,21.54,0
22.27,2721,4,0,0,0,0,73.34,0
30.26,1384,10,0,0,0,0,28.11,1
49.37,189,6,0,0,0,1,70.77,0
152.07,537,2,0,0,0,2,11.66,0
20.21,3472,8,0,0,1,0,10.73,0
68.55,2960,5,1,0,0,1,14.69,0
43.13,1477,4,0,0,0,1,82.52,1
49.65,2800,6,0,1,0,0,27.2,0
164.43,47,4,0,0,1,0,17.31,0
108.23,177,4,0,0,0,0,38.48,0
222.22,2043,5,0,0,0,0,15.47,0
58.03,2511,4,0,0,1,0,38.13,0
35.65,3749,4,1,0,0,0,27.06,0
54.52,3045,3,0,0,0,0,16.74,0
82.95,1051,7,0,0,0,0,28.32,0
78.17,3266,6,0,0,0,2,28.35,1
25.13,1981,5,0,1,0,1,52.52,1
72.34,3309,3,1,0,0,0,8.64,0
81.89,719,3,0,0,0,0,19.24,0
642.73,134,8,1,0,1,1,33.77,1
361.1,259,7,0,0,0,1,13.93,0
30.94,3963,5,0,1,0,0,24.47,0
51.49,349,1,0,0,1,0,16.46,0
17.87,3759,2,0,0,0,0,20.79,0
39.19,2916,6,0,0,0,0,10.83,0
88.59,609,6,0,0,1,1,106.8,1
197.41,3460,3,0,0,0,0,2.85,0
34.6,602,6,0,0,0,1,16.37,1
37.01,598,7,0,1,0,1,27.97,1
9.65,2314,4,0,0,0,0,27.74,0
57.6,1174,3,0,0,0,0,65.36,1
25.63,1184,8,0,1,0,0,8.54,1
41.41,804,9,0,1,0,0,5.35,1
30.29,2442,6,0,0,0,0,18.47,0
61.26,136,5,0,0,0,0,28.0,0
13.71,1002,5,0,1,0,0,22.01,0
17.81,2227,3,1,0,0,0,55.83,0
453.19,1961,2,0,0,0,0,9.73,0
20.93,2808,8,0,0,0,0,16.95,0
24.85,888,6,0,1,0,0,42.38,0
348.36,2602,3,0,0,0,0,28.37,0
911.02,3046,7,0,0,0,0,66.32,1
23.23,1570,8,0,0,0,0,28.43,0
47.87,1049,6,0,0,0,0,8.42,0
90.69,2233,7,1,0,0,1,60.68,0
316.03,2328,5,1,0,0,0,55.94,1
27.44,403,5,0,0,0,0,38.1,0
53.48,2273,4,0,0,0,0,119.85,0
134.24,642,6,1,1,0,1,29.48,1
98.62,2288,6,0,0,0,1,31.28,0
47.53,3729,4,0,0,0,0,54.94,0
59.12,2162,5,1,0,0,0,35.02,0
19.35,3053,7,0,0,0,0,31.01,0
53.82,1259,5,0,0,1,0,5.21,0
52.47,3693,2,1,0,0,0,7.44,0
82.18,3256,7,0,0,1,0,7.42,1
40.46,3669,7,1,0,0,0,21.15,0
101.94,2974,4,0,0,0,0,68.56,0
165.91,2608,3,0,0,0,0,93.07,0
76.7,2114,5,0,1,0,1,74.96,1
91.52,3715,5,0,0,0,0,77.23,0
69.95,3397,4,1,1,0,0,12.52,0
66.69,1684,5,0,0,0,0,28.36,0
34.83,370,5,0,0,0,0,11.0,0
88.66,44,3,0,0,0,0,36.95,0
61.1,956,7,0,0,0,0,21.32,0
438.72,278,4,1,0,0,0,5.42,1
274.79,869,7,1,0,0,0,40.59,0
94.37,464,1,0,0,0,0,15.09,0
33.56,3924,5,1,0,0,0,26.07,0
24.5,408,5,0,0,0,0,18.09,0
194.81,2518,4,1,0,0,1,44.69,0
84.48,1426,7,0,0,0,0,31.92,1
102.73,721,3,0,0,1,1,28.07,1
13.87,2814,3,0,0,1,0,73.18,0
153.65,3883,5,0,0,0,1,19.17,0
100.38,3168,4,1,0,0,0,38.77,0
24.55,3901,3,0,0,0,0,19.76,0
43.62,2373,4,1,0,0,0,136.42,0
84.55,2704,6,0,0,0,0,62.32,0
69.91,611,5,0,0,0,0,89.47,1
51.27,3414,5,0,0,0,0,31.25,0
60.76,2999,6,0,0,0,0,64.15,0
53.16,1038,5,1,0,0,0,10.0,0
76.5,1438,10,0,0,0,0,8.42,0
250.72,2455,3,0,1,0,1,23.79,0
6.62,81,8,0,1,0,0,36.17,1
53.88,3277,3,1,0,0,0,68.93,0
78.17,1143,7,1,0,0,0,29.33,1
87.04,327,5,1,0,0,0,23.55,0
47.72,1342,5,0,0,1,0,51.21,1
13.72,3348,3,1,0,0,0,86.12,0
89.59,1118,5,0,0,0,1,53.73,1
315.64,2170,1,1,0,0,0,40.85,0
16.77,3253,6,0,0,0,0,63.78,0
145.1,163,6,0,1,1,0,60.34,1
49.62,3046,2,0,0,0,0,53.9,0
63.11,1176,6,0,1,0,0,61.38,0
25.85,2791,4,0,0,1,1,37.01,1
49.35,776,4,0,0,0,1,98.26,0
214.87,581,3,0,0,0,0,8.62,0
112.66,3159,5,1,0,1,1,46.15,1
317.06,3237,3,0,0,0,2,16.15,0
192.42,3925,3,0,1,0,0,34.27,0
99.01,2718,4,0,0,0,0,9.28,0
320.39,1879,3,0,0,0,0,20.79,0
99.0,803,5,0,1,0,1,23.22,1
140.5,1202,4,0,0,0,0,42.18,0
51.06,2602,8,0,0,0,0,19.29,0
70.8,1404,4,0,0,0,0,24.84,0
35.6,1949,6,0,0,0,1,52.87,0
162.49,697,2,0,0,0,0,70.02,0
23.09,1774,3,0,0,0,0,22.38,0
134.84,974,3,0,0,0,0,77.75,0
56.17,475,2,0,0,0,0,50.31,0
191.35,553,3,0,0,1,0,77.01,1
131.08,2087,5,0,0,0,0,32.57,0
343.29,1484,4,1,0,1,1,24.45,1
128.73,426,3,0,0,0,0,28.78,0
16.2,2071,10,0,0,0,0,41.34,0
62.79,682,3,1,0,1,0,32.03,0
23.22,91,3,0,0,0,0,32.76,0
41.83,556,9,0,0,1,0,49.99,0
259.85,1810,6,0,0,0,0,19.51,0
118.37,3817,6,0,0,0,1,35.28,0
35.55,989,3,0,0,0,1,9.16,0
26.78,1160,5,0,0,0,1,30.15,0
68.68,993,5,1,0,0,0,22.88,0
22.31,1440,3,0,0,0,2,23.59,0
36.45,2877,6,0,0,0,1,11.27,0
88.31,1308,3,1,0,0,0,18.59,1
188.63,2640,4,0,0,0,1,42.17,0
115.34,3596,4,0,0,0,1,13.67,0
8.48,3786,4,1,0,0,0,4.76,0
87.7,2264,5,0,0,1,0,46.69,0
71.15,2861,4,0,0,0,0,114.64,1
96.79,3679,6,0,0,0,1,17.65,0
285.6,3153,4,0,0,0,0,96.92,1
10.41,1220,6,0,1,0,0,4.11,0
39.17,554,3,0,0,0,1,44.72,0
113.5,485,6,0,0,0,0,16.09,0
16.06,3531,6,0,1,0,0,112.73,1
251.73,2238,3,1,0,0,0,26.64,1
92.9,1206,3,0,0,0,1,18.75,0
142.87,1401,5,1,0,0,0,0.71,1
39.89,1148,2,0,1,0,0,55.51,1
138.71,3213,4,1,0,0,0,53.03,0
174.45,2461,3,1,0,0,0,75.11,1
82.24,3521,5,0,0,1,1,36.88,1
82.35,1228,4,0,0,0,0,24.39,0
85.06,1906,9,0,0,0,0,66.31,1
30.66,513,7,0,0,0,1,20.87,0
58.39,3886,4,0,0,0,0,8.39,0
58.13,2062,8,0,0,0,0,43.67,1
94.17,2225,7,1,0,0,1,61.15,1
164.0,1672,5,1,0,0,0,6.62,1
25.72,1105,7,0,0,0,0,34.85,0
59.59,3795,6,0,0,0,0,55.69,0
252.98,1971,10,0,0,0,1,19.43,0
34.15,2708,8,0,0,1,1,96.05,1
31.82,178,7,1,0,0,0,17.66,0
80.0,1125,5,0,0,0,0,17.67,0
142.59,3221,6,0,0,0,0,21.12,0
67.38,378,4,0,0,0,0,12.96,0
220.54,432,8,0,0,0,2,17.66,1
144.19,3245,4,1,0,0,1,33.95,1
142.26,1255,4,0,0,0,0,14.61,0
109.8,1117,6,0,0,0,0,46.99,0
541.8,2274,2,0,0,0,1,7.38,0
55.44,803,5,0,0,0,0,14.79,0
10.99,200,3,0,0,0,0,97.33,0
282.54,47,6,0,0,0,0,17.19,0
44.17,344,6,0,0,0,0,29.91,0
73.49,659,3,0,0,0,0,31.88,0
216.72,2793,4,1,0,0,2,11.99,1
15.77,1212,4,1,0,0,2,15.84,1
21.62,314,6,0,0,0,0,39.83,0
15.78,87,6,0,0,0,1,17.27,1
32.63,1924,6,1,0,0,0,16.46,1
99.05,3365,7,0,0,0,1,15.76,0
106.89,1374,6,1,0,1,1,74.34,1
85.51,283,9,0,0,0,0,64.25,1
18.7,935,2,0,0,0,0,34.38,1
8.34,2012,6,0,0,0,1,26.21,0
70.03,779,7,1,1,0,1,32.97,1
43.62,3914,7,0,0,0,0,41.98,0
100.83,3060,6,0,0,0,0,42.19,0
125.43,1397,4,1,0,1,2,17.47,0
75.52,3807,4,1,0,0,0,22.3,0
132.17,1320,4,0,0,0,0,20.49,0
81.96,586,5,0,0,0,1,36.6,0
107.45,3754,4,0,0,0,0,71.87,0
35.37,3839,5,0,0,0,0,30.04,0
56.73,1271,3,0,0,0,1,32.23,0
79.61,2391,4,0,0,1,1,14.62,0
139.56,717,3,1,0,0,0,6.2,0
46.79,2577,7,1,0,0,0,21.77,0
106.6,2769,3,1,0,0,1,48.54,1
52.5,2848,6,0,0,0,0,14.91,0
59.99,2287,4,0,1,0,0,4.87,0
140.69,2825,5,0,0,0,0,43.34,0
11.09,2233,9,0,0,1,0,40.09,1
20.76,3284,10,0,0,0,1,18.06,1
17.57,742,4,0,0,1,1,16.26,1
8.16,1949,1,0,0,1,2,23.22,1
36.22,1683,9,0,1,0,0,19.22,0
130.91,2147,3,0,0,0,2,84.42,0
51.6,594,2,0,0,0,2,22.68,1
79.68,1315,3,0,0,0,0,37.98,0
177.74,3817,4,0,1,0,0,25.57,0
220.28,447,2,0,1,1,0,38.97,1
62.66,2552,4,0,0,0,2,18.57,0
225.48,2668,5,0,0,1,0,18.02,0
72.45,1913,4,0,0,0,0,29.88,0
31.39,163,2,0,0,0,0,15.99,0
39.06,166,7,0,0,0,1,21.78,1
17.59,1124,5,0,0,0,0,47.04,0
29.98,436,4,0,0,0,0,65.83,0
48.32,404,5,0,0,0,1,103.19,1
137.45,665,2,1,0,0,0,44.46,1
313.78,787,8,0,0,0,2,36.61,1
19.22,3358,7,0,0,0,0,13.22,0
94.97,2565,6,1,0,0,0,60.67,0
26.14,150,6,0,0,0,0,81.92,1
102.23,2525,4,0,0,0,0,20.95,0
59.27,572,7,0,0,0,0,97.52,0
12.84,1701,6,1,0,1,0,65.06,1
153.77,181,6,0,0,0,0,44.85,0
38.69,387,6,0,0,0,1,26.12,0
41.24,556,5,0,0,0,0,9.64,0
25.46,1750,4,0,1,0,0,84.64,1
37.01,1868,9,0,0,1,0,8.66,0
98.01,1430,4,0,0,0,0,87.29,0
56.24,2492,2,0,0,0,0,93.91,0
89.64,2890,7,0,1,0,3,13.45,1
92.36,2923,2,0,0,0,1,8.58,0
218.9,2328,6,1,0,0,0,20.42,1
48.98,2195,1,0,0,0,0,27.58,0
17.65,1981,2,0,0,1,0,19.0,0
174.25,974,5,0,0,0,0,20.15,0
49.48,1963,5,0,0,0,1,28.4,0
181.84,70,5,0,0,0,1,82.49,0
94.16,3866,9,0,0,0,0,25.66,1
59.26,1499,7,0,0,0,0,47.48,0
91.28,3032,6,0,0,0,0,10.03,0
386.03,3828,4,1,0,0,1,31.46,0
432.37,2003,8,1,0,0,0,21.78,1
70.98,3451,5,0,0,0,0,46.38,0
77.03,1932,7,0,0,0,1,9.26,0
175.67,555,5,1,0,0,0,70.09,1
31.15,135,3,0,0,0,1,21.05,0
90.0,568,4,0,0,0,0,15.39,0
65.15,3771,5,0,0,0,0,93.21,1
88.46,1916,3,0,0,0,0,35.59,0
31.5,1297,8,0,0,0,0,27.87,0
15.95,1800,2,0,1,0,0,9.17,0
10.32,1046,9,0,0,0,0,13.29,1
24.39,3486,4,0,0,0,0,9.56,1
44.13,3997,5,0,0,0,0,29.9,0
51.22,367,4,0,0,0,0,64.45,0
381.27,2883,4,0,0,0,0,37.71,0
180.44,1362,5,0,1,0,1,31.33,0
28.05,218,7,0,0,0,1,28.47,0
91.19,3691,2,0,0,0,0,53.95,0
46.23,275,4,0,0,1,0,24.56,1
51.63,847,8,1,0,0,1,7.27,0
78.79,131,4,0,0,0,1,59.57,0
116.43,1900,3,1,0,0,0,11.24,0
49.14,2410,2,0,0,1,1,6.27,0
173.72,1303,7,0,0,0,1,36.45,1
23.86,314,12,0,1,0,0,3.87,1
67.07,491,7,1,0,0,0,28.87,0
690.84,3735,3,0,0,0,0,33.07,0
81.51,3229,8,0,0,0,1,40.91,0
242.23,3749,5,0,0,0,0,37.91,1
72.41,2137,8,0,0,0,0,8.61,1
112.47,2197,8,0,1,0,1,54.03,1
63.36,3150,6,1,0,0,0,28.14,0
57.2,2478,4,0,0,0,2,21.48,0
33.06,1762,6,1,0,0,1,9.23,0
98.23,1188,4,0,0,0,1,62.08,0
30.99,1957,8,1,0,0,1,57.91,1
121.39,283,4,1,0,0,0,18.95,0
177.11,794,1,0,0,1,1,41.07,1
92.75,2957,2,1,0,0,0,48.63,0
51.54,3476,9,1,0,0,0,23.48,0
100.34,434,8,0,0,0,0,58.37,1
50.51,414,1,0,0,0,0,60.52,0
154.78,369,4,0,0,0,0,5.26,0
12.83,3172,5,0,0,0,0,47.34,0
49.3,1265,2,0,0,0,0,19.36,0
11.11,1327,5,0,0,0,1,14.01,0
17.36,79,6,0,0,0,0,3.98,1
227.57,3891,3,0,0,0,0,31.13,0
149.26,1753,3,0,0,0,1,22.96,0
34.9,3195,6,0,0,0,0,18.56,0
17.25,2839,6,1,1,0,1,49.56,1
4.63,592,5,0,0,0,1,180.16,1
40.89,3211,4,0,0,0,1,41.37,0
588.97,2214,4,0,0,0,0,22.88,0
98.63,2429,2,1,1,0,0,59.66,0
40.3,825,8,0,0,0,0,11.96,1
101.35,3392,5,0,1,0,1,19.52,0
16.36,3728,7,0,0,0,0,32.77,1
51.03,1643,5,0,0,0,0,33.04,0
72.93,397,7,0,0,0,2,55.19,1
61.71,3399,4,0,0,0,0,80.58,1
135.87,3552,4,0,0,0,1,54.26,1
90.94,2040,2,0,0,0,0,81.07,0
121.69,2329,4,1,0,1,0,83.58,1
35.89,915,9,0,0,0,1,36.39,1
149.61,297,3,1,1,0,3,26.01,1
288.89,3778,8,0,0,0,1,46.07,0
27.85,1947,4,0,0,0,1,5.92,0
30.0,1121,4,0,0,0,0,55.03,0
221.9,2782,6,0,0,0,0,50.21,0
56.14,134,10,0,0,0,0,11.56,0
235.91,347,6,0,0,0,0,75.66,0
44.78,993,8,0,0,0,0,61.94,1
247.04,1819,2,0,0,0,0,44.16,0
75.06,1485,6,0,0,0,0,25.72,0
84.13,773,5,1,0,0,0,77.58,1
272.67,1424,4,0,0,0,0,6.5,0
48.15,1355,4,0,0,0,0,28.06,0
28.59,2112,8,0,0,0,1,47.74,1
44.54,2264,6,0,0,0,0,66.07,0
100.19,3536,5,1,0,0,0,60.73,0
16.29,3232,6,0,0,0,0,10.67,0
118.36,1190,5,1,0,0,0,40.68,0
41.06,3613,3,0,0,0,0,33.42,0
187.36,2097,4,0,0,0,1,5.4,0
7.73,775,2,0,0,0,1,9.8,0
32.85,1380,4,0,0,0,1,4.01,1
14.62,2974,5,0,0,0,2,5.38,1
31.7,3292,8,0,0,0,0,10.69,1
83.34,1515,9,1,0,0,0,26.45,1
56.75,655,3,0,0,0,0,27.64,0
53.09,791,6,0,0,1,0,39.71,1
57.79,440,2,0,0,0,1,17.01,0
80.08,2803,2,0,0,0,0,68.52,0
26.91,2026,6,0,1,0,0,58.13,0
125.99,1821,7,0,0,0,0,38.48,1
121.07,2697,3,0,0,0,1,89.33,1
94.3,3319,5,0,0,0,0,35.94,0
110.04,3188,4,0,0,0,0,7.52,0
87.08,574,6,1,1,0,1,46.74,1
416.37,2370,8,0,0,0,1,31.86,1
61.66,3533,3,1,0,1,1,21.11,1
50.58,3102,4,0,0,0,2,23.65,0
33.85,1337,6,0,0,0,0,41.81,0
26.34,1589,2,1,0,0,1,37.38,0
21.76,3564,2,0,0,0,1,101.99,0
29.97,160,7,0,0,0,0,33.93,0
62.58,2115,5,0,0,0,0,35.95,0
90.1,490,7,0,0,0,0,31.55,0
69.83,3581,3,0,0,0,0,31.22,0
33.48,183,5,0,0,1,0,11.35,1
149.93,122,2,1,0,0,1,18.86,0
129.73,1335,6,0,0,0,1,40.98,0
57.76,824,7,0,0,0,0,7.51,0
37.05,1997,2,0,0,0,0,24.51,0
109.24,1219,9,0,0,0,0,71.9,1
78.98,1444,4,0,0,0,0,23.39,0
18.11,2272,4,0,0,0,1,85.83,0
62.73,2255,4,0,0,0,0,23.82,0
84.42,3741,2,0,0,0,0,60.87,0
29.67,1938,2,0,0,0,0,32.41,0
79.11,2269,6,0,0,0,0,11.56,1
18.01,2721,6,0,0,0,0,99.92,0
221.98,721,2,0,0,0,0,10.49,0
205.03,2677,7,0,0,0,0,20.19,0
53.13,3451,7,0,0,0,0,108.28,0
92.49,1292,3,0,0,0,0,35.8,0
7.62,738,5,0,0,0,0,15.72,1
23.55,1404,7,1,0,1,1,31.41,1
51.19,1121,3,0,0,0,0,45.95,0
25.41,2353,6,0,1,0,1,23.31,0
126.84,3459,4,1,0,0,1,77.04,0
402.45,2397,4,1,0,0,0,16.79,0
23.13,528,7,0,0,0,1,4.04,0
31.38,1279,4,1,0,0,1,56.47,0
82.43,2766,3,0,0,0,0,27.29,0
284.29,1341,4,0,0,1,0,60.76,1
22.19,2357,5,0,0,0,0,22.42,1
83.44,2785,6,1,0,0,0,41.03,0
343.49,1336,7,0,0,0,0,21.51,1
15.08,2600,2,0,0,0,0,25.23,0
21.05,1610,7,0,0,0,0,8.06,0
45.55,566,3,0,0,0,0,11.18,0
41.74,1507,5,0,0,0,0,37.94,0
138.57,1780,8,0,0,1,0,56.47,1
82.89,39,7,0,0,1,0,40.68,1
13.5,3574,3,0,0,0,0,13.36,0
106.05,2125,3,0,0,0,0,43.62,0
39.65,174,5,0,0,0,1,13.66,0
209.98,3475,3,0,0,0,0,37.49,0
37.91,3425,5,1,0,0,1,16.9,0
37.6,77,7,0,0,1,0,26.52,1
108.53,677,3,0,0,0,0,18.39,0
132.51,1474,1,0,0,0,1,44.92,0
99.81,2043,7,1,1,0,0,20.9,1
14.63,2911,6,0,0,0,0,45.96,1
108.23,1714,4,0,0,0,0,2.53,0
26.29,2458,7,0,1,0,0,58.56,0
